keys,ru,en
Kholmy,Холмы,Kholmy
Vyaz,Вязь,Vyaz
Engrad,Энград,Engrad
Kirsino,Кирсино,Kirsino
Putevaya,Путевая,Putevaya
Lisino,Лисино,Lisino
Voronovo,Вороново,Voronovo
Ozerki,Озерки,Ozerki
Places,Места,
Streets,Улицы,
,,
Calendar,Календарь,
Theater,Театр,
Cinema,Кинотеатр,
Hotel,Гостиница,
Hostel,Хостел,
Restaurant,Ресторан,
Cafe,Кафе,
Bar,Бар,
Fast Food,Фаст Фуд,
Book Shop,Книжный Магазин,
Supermarket,Супермаркет,
Club,Клуб,
Anti-Cafe,Анти-Кафе,
Pharmacy,Аптека,
Bakery,Пекарня,
Park,Парк,
Library,Библиотека,
Market,Рынок,
Bookshop,Книжный,
January,Январь,
February,Февраль,
March,Март,
April,Апрель,
May,Май,
June,Июнь,
July,Июль,
August,Август,
September,Сентябрь,
October,Октябрь,
November,Ноябрь,
December,Декабрь,
,,
dS,В,S
dM,П,M
dTs,В,T
dW,С,W
dT,Ч,T
dF,П,F
dSt,С,S
,,
Settings,Настройки,
main,общий,
sfx,звуки,
ambient,фон,
full screen,полный экран,
v-sync,v-sync,
Map,Карта,
Weather,Погода,
EMPTY,ПУСТО,
Engrad and surroundings,Энград и ближайшие города,
Login,Логин,
Password,Пароль,
Enter,Войти,
All Mail,Вся Почта,
Search,Поиск,
Search by name or full name,Поиск по имени или имени и фамилии,
email address,email адрес,
Start,Начать,
No address found,Адрес не найден,
Place,Место,
Day,День,
Month,Месяц,
Reconstruct,Реконструировать,
Submit,Отправить,
Town,Город,
Street,Улица,
House,Дом,
No results,Нет результатов,
Aleksandra,Александра,
Smirnova,Смирнова,
Kulikova,Куликова,
Sovelyeva,Совельева,
Alekhina,Алехина,
Polyakova,Полякова,
Zubova,Зубова,
Yakovleva,Яковлева,
age,Возраст,
sex,Пол,
email alt,email альт.,
phone number,Номер Телефона,
Rain,Дождь,
Snow,Снег,
Sunny,Солнечно,
Partly Cloudy,Переменная Облачность,
Cloudy,Облачно,
Overcast,Пасмурно,
Lightning,Гроза,
Blizzard,Метель,
Heavy Blizzard,Сильная Метель,
Light,Слабый,
Moderate,Умеренный,
Heavy,Сильный,
Alina,Алина,
Kolikova,Коликова,
Kirillova,Кириллова,
Sklokina,Склокина,
Rodnina,Роднина,
Baranova,Баранова,
Antonova,Антонова,
Dubova,Дубова,
Karlova,Карлова,
Maksim,Максим,
Muradov,Мурадов,
Kulakov,Кулаков,
Baranov,Баранов,
Abramov,Абрамов,
Zubov,Зубов,
Albertov,Альбертов,
Inna,Инна,
Sevastyanova,Севастьянова,
male,мужской,
female,женский,
Centralnaya,Центральная,
Zarechnaya,Заречная,
Vostochnaya,Восточная,
Kotlozavodskaya,Котлозаводская,
Shkolnaya,Школьная,
Lenivka,Ленивка,
Solenaya,Соленая,
Zvezdnaya,Звездная,
Verkhnya,Верхняя,
Sobachya,Собачья,
Chernaya,Черная,
Pozharnaya,Пожарская,
Krugovaya,Круговая,
Bolshaya,Большая,
Svetlaya,Светлая,
Uzkaya,Узкая,
Sosnovaya,Сосновая,
Nebesnaya,Небесная,
Belaya,Белая,
Karaulnaya,Караульная,
Vyazov,Вязов,
Shirokaya,Широкая,
Verkhnya,Верхняя,
Molochnaya,Молочная,
Sozidaniya,Созидания,
Kamennaya,Каменная,
Mayskaya,Майская,
Blagodatskaya,Благодатская,
Dorozhnaya,Дорожная,
Letnya,Летняя,
Luchevaya,Лучевая,
Novaya,Новая,
Sonlivaya,Сонливая,
Severnaya,Северная,
Sportivnaya,Спортивная,
Tikhaya,Тихая,
Vinogradnaya,Виноградная,
Temnaya,Темная,
Tupik,Тупик,
Solnechnaya,Солнечная,
Svetlaya,Светлая,
Vodnaya,Водная,
Koptevaya,Коптевая,
Vozdushnaya,Воздушная,
Kukushkina,Кукушкина,
Krasivaya,Красивая,
Skuchnaya,Скучная,
Novaya,Новая,
Sadovaya,Садовая,
Zelenaya,Зеленая,
Sorokina,Сорокина,
Nizhnaya,Нижняя,
Lesnaya,Лесная,
Granitnaya,Гранитная,
Yablochnaya,Яблочная,
Sosedskaya,Соседская,
Polevaya,Полевая,
Kirpichnaya,Кирпичная,
Vishnevaya,Вишневая,
Aprelskaya,Апрельская,
Straraya,Старая,
Otradnaya,Отрадная,
Lunnaya,Лунная,
Staraya,Старая,
Malaya,Малая,
Bread Place,Хлебное Место,
Elephant,Элефант,
72mm,72мм,
Troubadour,Трубадур,
Owl's Nest,Совиное Гнездо,
Produkty,Продукты,
Centralny,Центральный,
Atmosphere,Атмосфера,
Magnetron,Магнетрон,
Klever,Клевер,
Zdorov'ye,Здоровье,
Groza,Гроза,
Skalka,Скалка,
Produkty,Продукты,
Elektroshok,Электрошок,
Vzglyad Kubrika,Взгляд Кубрика,
Babylon,Вавилон,
Arlekin,Арлекин,
Dr. Dom,Доктор Дом,
Chaynoe Mesto,Чайное Место,
Glebsky,Глебский,
Svet,Свет,
Rubilnik,Рубильник,
Pobedy,Победы,
Integral,Интеграл,
Matrix,Матрица,
Train's Arrival,Прибытие Поезда,
Chetyri Komnaty,Четыре Комнаты,
Friends,Друзья,
Chernye Knigi,Черные Книги,
Zero,Зеро,
Bolshaya Lozhka,Большая Ложка,
Pantalone,Панталоне,
Coffee Supreme,,
Tikhoe Mesto,Тихое Место,
Derevenskiy,Деревенский,
Znanie,Знание,
Vkusnye Bulki,Вкусные Булки,
Spokoystviya,Спокойствия,
Yablochnyi,Яблочный,
Ozernyi,Озерный,
Proizvodnaya,Производная,
Pirozhki,Пирожки,
Dvoynoe R,Двойное Р,
Edaki,Едаки,
Rybka,Рыбка,
Gollandec,Голландец,
Nedosmotr,Недосмотр,
Apparat,Аппарат,
Name,Название,
Attempting to reconstruct...,Попытка реконструировать...,
from,от,
to,для,
Breaking...,Взламываем...,
Completed\n pass: %s,Завершено\n пароль:,
No place found,Релевантных данных нет,Nothing relevant found
Reconstruction finished,Реконструкция завершена,
Cheapest,Самый дешевый,
In the Center,В центре,
Of Town,Города,
"Engrad, Centralnay st, 15","г. Энград, ул. Центральная, 15",
Owl's,Совиное,
Nest,Гнездо,
ALINA_MAIL_IN_TITLE,Какого,Why the
ALINA_MAIL_OUT_TITLE,Re: Какого,Re: Why the
ALINA_MAIL_IN,какого черта не отвечаешь на телефон целую неделю?,"Why the hell haven’t you been answering your phone for a whole week?
"
ALINA_MAIL_OUT,"Прости, я потеряла свой телефон, они купили мне новый, 2226524","Sorry I lost my phone, they got me a new one, 2226524"
ALINA_MAKS_1,"Я возвращаюсь в следующую среду в 12, встреть меня на станции","I'm coming back next wednesday at noon, meet me at the station."
ALINA_MAKS_2,"Хорошо, можем перекусить в месте неподалеку, нужно кое-что обсудить","Sure, we can have lunch at the nearby place, there's something to discuss."
ALINA_MAKS_3,"Кстати, где ты остаешься?","By the way, where are you gonna stay?"
ALINA_MAKS_4,"там же, где и всегда",same as usual
ALINA_MAKS_5,,
INNA_ALEX_1,сааааш можешь отправить дз по матему? я забыла записать(,saaasha can you send the math homework? I forgot to write down(
INNA_ALEX_2,"12.1, 12.2, 12.3 (а, б)","12.1, 12.2, 12.3 (a, b)"
INNA_ALEX_3,сяп <3,thx <3
INNA_ALEX_4,кста хочешь сходить завтра в кино?,by the way want to go to the movies tommorow?
INNA_ALEX_5,"Хочу, но мне надо сначала спросить родителей, позвоню тебе попозже","I do, but I'll need to ask parents first, I'll call you later"
MAIL_BOOKS,Посетите наш магазин и получите скидку 50% на все товары!,Visit our shop in the next 10 days and get 50% off on all items!
MAIL_SCHOOL,"Не забудьте, встреча состоится завтра в 7:30 у главного входа","Don't forget, meeting tommorow at 7:30 near the main entrance"
MAIL_STORM,"Сегодня ожидается сильная буря, пожалуйста оставайтесь дома","Strong storm is incoming today, please stay safely inside"
MAIL_SPAM_PRIZES,"Учавствуйте, крутите колесо в казино FLAGSHIP и выигрывайте невероятные призы","Get in, roll the wheel at FLAGSHIP online casino and get amazing prizes"
MAIL_SPAM_CASINO,Зарегестрируйтесь в нашу игру и получите шанс выиграть ШИКАРНЫЕ призы,Enter our game and get a chance to win AMAZING prizes!
MAKS_PLACE_MAIL,"Я нашел тихое место к северу от тебя, я позвоню, когда нужно будет заселиться","I've found a quiet place to the north of you, I'll call you when it's time to check in "
,,
INSIGNUM_INTRO,"Некоторое время назад Александра (Саша) Смирнова пропала. Несколько дней спустя её нашли дезориентированной на окраине ее родного города Энграда — она не помнила, что произошло, у неё не было физических травм.

Дело было закрыто.

Выясни, что с ней случилось.","Some time ago, Aleksandra (Sasha) Smirnova went missing, several days later she was found disoriented on the outskirts of hometown, Engrad, with no memory of what happened and no physical injuries.

Case was closed.

Find out what happened to her."
RECON_HELP,"Введите данные, которые имеют непосредственное отношение к делу. В таком случае, эта программа создаст (несовершенную) цифровую реконструкцию того, что произошло.",Enter data that is directly related to the case. Then this program will create an (imperfect) digital recration of things that happened.
Re: hw,Re: дз,
hw,дз,
Arrival,Прибытие,
Re: Arrival,Re: Прибытие,
Re: Arrival 2,Re: Прибытие 2,
Re: Re: Arrival 2,Re: Re: Прибытие 2,
Get in,Схватывайте,
Limited offer,Ограниченное предложение,
Meeting,Встреча,
Warning,Предупреждение,
Ready?,Вы готовы?,
Perpetrators are,Исполнители это,Acting perpetrators are
and,и,
are,являются,
They have different,У них разные,
because,потому что,
got,был(а),
During meeting in the,Во время встречи в,
added,добавил(а),
into,в,
’s,,
to make her,чтобы он(а) утратил(а),
After that (s)he and,После этого он(а) и,
put her into,запихнули ее в,
and drove away.,и уехали.,
The destination was:,Их направлением был:,
,,
,,
al,ал,
ina,ина,
si,се,
ste,стр,
rs,ами,
sur,фа,
nam,мил,
es,ии,
ad,удо,
opt,чер,
ed,ена,
ma,ма,
ks,кс,
im,им,
ro,ро,
hy,ги,
pn,пн,
ol,ол,
sa,са,
sha,ша,
a,а,
a\'s,и,
su,че,
it,мо,
ca,да,
se,н,
co,ко,
la,лу,
mu,му,
rad,рад,
ov,ов,
ko,кол,
lik,ик,
ova,ова,
ho,гос,
te,тин,
l,ице,
un,со,
con,зн,
sci,ан,
ous,ие,
SASHA_POS,ну,a's
All correct!,Все верно!,
More than %d are incorrect,Больше чем %d неверно,
%d or less are incorrect,%d или меньше неверно,
INSIGNUM_HELP,"Перетаскивайте панели в слоты, чтобы составить подходящие слова.",Drag panels into slots to construct suitable words.
,,
MAKS_OUTGOING_TEXT,"Я сделаю это, если не в этом месяце, то по крайней мере в следующем","I’ll get it soon, if not this month then the next"
MAKS_OUTGOING_TITLE,Скоро,Soon
MAKS_REPLY_TITLE,Re: Скоро,Re: Soon
